State,Minimum Wage,Note,Subtotal,Total,Store name,City,Zipcode,Address,Capital,Drink
CA,,,5.85,5.85,Shattuck - Berkeley,Berkeley,94704,"2255 Shattuck Avenue, Berkeley, CA 94704",,Peppermint Mocha
CA,,,5.90,5.90,Vine Street,Berkeley,94709,"2124 Vine Street, Berkeley, CA 94709",,Peppermint Mocha
CA,,,5.90,5.90,4th Street,Berkeley,94710,"1776 4th Street, Berkeley, CA 94710",,Peppermint Mocha
CA,,,5.85,5.85,Solano Ave.,Berkeley,94707,"1825 Solano Avenue Berkeley, CA 94707",,Peppermint Mocha
CA,,,5.60,5.60,Harvard Square,Cambridge,02138,"100 Mount Auburn Street, Cambridge, MA 02138",,Peppermint Mocha
CA,,,5.60,5.60,Emeryville,Emeryville,94608,"5959 Shellmound Street, Ste. 85 Emeryville, CA 94608",,Peppermint Mocha
CA,,,5.60,5.60,Irvine-Crossroads,Irvine,92606,"3972 Barranca Pkwy Suite F-2 Irvine, CA 92606",,Peppermint Mocha
CA,,,5.60,5.60,Los Altos,Los Altos,94022,"367 State Street, Los Altos, CA 94022",,Peppermint Mocha
CA,,,5.65,5.65,1854 Westwood,Los Angeles,90025,"1854 Westwood Blvd. Los Angeles, CA 90025",,Peppermint Mocha
CA,,,5.70,5.70,Los Gatos,Los Gatos,95032,"798-1 Blossom Hill Road, Los Gatos, CA 95032",,Peppermint Mocha
CA,,,5.65,5.65,Menlo Park,Menlo Park,94025,"899 Santa Cruz Avenue Menlo Park, CA 94025",,Peppermint Mocha
CA,,,5.65,5.65,1111 Broadway,Oakland,94607,"1111 Broadway Oakland, CA 94607",,Peppermint Mocha
CA,,,5.50,5.50,Palo Alto,Palo Alto,94301,"153 Homer Avenue, Palo Alto, CA 94301",,Peppermint Mocha
CA,,,5.50,5.50,Town & Country,Palo Alto,94301,"77 Town & Country, Palo Alto, CA 94301",,Peppermint Mocha
WA,,,5.50,5.50,Brewery Blocks,Portland,97209,"1114 NW Couch Street Portland, OR 97209",,Peppermint Mocha
WA,,,5.50,5.50,Redmond Way,Redmond,98052,"17887 Redmond Way, Ste 130, Redmond, WA 98052",,Peppermint Mocha
CA,,,5.65,5.65,Alhambra,Sacramento,95816,"3100 Folsom, Suite 100 Sacramento, CA 95816",,Peppermint Mocha
CA,,,5.60,5.60,Hillcrest,San Diego,92103,"350 University Avenue, Suite D San Diego, CA 92103",,Peppermint Mocha
CA,,,5.65,5.65,16th & Geary,San Francisco,94118,"5201 Geary Blvd, San Francisco, CA 94118",,Peppermint Mocha
CA,,,5.70,5.70,Willow Glen,San Jose,95125,"1140 Lincoln Avenue, Suite C, San Jose, CA 95125",,Peppermint Mocha
CA,,,5.70,5.70,Santa Clarita,Santa Clarita,91355,"27047 McBean Parkway, Santa Clarita, CA 91355",,Peppermint Mocha
Washington D.C.,,,5.50,5.50,DC - 1701 Pennsylvania Ave.,Washington D.C.,20006,"1701 Pennsylvania Ave NW Washington, DC 20006",,Peppermint Mocha
CA,,,5.65,5.65,Sunnyvale,Sunnyvale,94087,"144 West El Camino Real Sunnyvale, CA 94087",,Peppermint Mocha
CA,,,5.65,5.65,Mtn View Castro,Mountain View,94041,"420 Castro Street Mountain View, CA 94041",,Peppermint Mocha
CA,,,5.65,5.65,Redwood City,Redwood City,94063,"2600 Broadway Redwood City, CA 94063",,Peppermint Mocha
CA,,,5.60,5.60,San Mateo,San Mateo,94401,"255 E. 3rd Avenue San Mateo, CA 94401",,Peppermint Mocha
CA,,,5.65,5.65,Burlingame,Burlingame,94010,"1241 Burlingame Avenue Burlingame, CA 94010",,Peppermint Mocha
CA,,,5.65,5.65,San Carlos,San Carlos,94070,"677 Laurel, Suite B San Carlos, CA 94070",,Peppermint Mocha
CA,,,5.60,5.60,Belmont,Belmont,94002,"1200A El Camino Real Belmont, CA 94002",,Peppermint Mocha
CA,,,5.70,5.70,Fremont,Fremont,94538,"2780 Mowry Avenue Fremont, CA 94538",,Peppermint Mocha
CA,,,5.65,5.65,San Leandro,San Leandro,94577,"1500 East 14th St. San Leandro, CA 94577",,Peppermint Mocha
CA,,,5.60,5.60,Hayward,Hayward,94541,"878 B Street Hayward, CA 94541",,Peppermint Mocha
CA,,,5.70,5.70,Milpitas,Milpitas,95035,"543 E. Calaveras Blvd. Milpitas, CA 95035",,Peppermint Mocha
CA,,,5.65,5.65,Castro Valley,Castro Valley,94546,"20439 Redwood Road Castro Valley, CA 94546",,Peppermint Mocha
CA,,,5.65,5.65,Santa Clara - ECR,Santa Clara,95050,"2002 El Camino Real, Suite 20 Santa Clara, CA 95050",,Peppermint Mocha
